frame_num,track_id,det_bb_top,det_bb_left,det_bb_bottom,det_bb_right,track_x,track_y,track_Vx,track_Vy,track_len,track_value,pose_tip_x,pose_tip_y,pose_left_x,pose_left_y,pose_right_x,pose_right_y,pose_bottom_x,pose_bottom_y,pose_tail1_x,pose_tail1_y,head_x,head_y
0,0,1252,459,1389,640,549.5,1320.5,0,0,1,0,632.8211669922,1282.1143798828,581.0109863281,1273.4227294922,600.8616943359,1322.6223144531,549.0751342773,1319.9444580078,504.5642700195,1352.5892333984,614,1260
0,1,712,1390,805,1587,1488.5,758.5,0,0,1,0,1397.3405761719,782.12890625,1456.3795166016,798.1310424805,1441.3785400391,734.1995239258,1488.1387939453,757.9546508789,1552.3294677734,737.3610839844,1381,772
1,0,1250,462,1386,644,553,1318,3.5,-2.5,2,0,631.8991699219,1278.3880615234,582.5363769531,1271.4835205078,600.9962158203,1317.9775390625,552.8814697266,1317.7546386719,504.3878479004,1346.4886474609,617,1259
1,1,711,1387,804,1585,1486,757.5,-2.5,-1,2,0,1395.69921875,780.1832275391,1453.8752441406,796.9874267578,1438.3172607422,734.0031738281,1485.61328125,756.4455566406,1549.2926025391,737.6946411133,1378,770
2,0,1249,464,1380,650,556.875,1314.75,3.75,-3,3,0,636.0634765625,1273.0875244141,583.8978271484,1269.6755371094,606.7252197266,1313.6730957031,556.2019042969,1314.0900878906,499.6716918945,1353.5028076172,636,1252
2,1,710,1384,803,1585,1484.25,756.5,-2,-1,3,0,1394.0009765625,780.1314697266,1452.3754882813,796.5543212891,1436.9212646484,733.8272094727,1483.5306396484,755.3610229492,1548.125,737.0868530273,1376,769
3,0,1248,456,1376,658,557.90625,1311.9375,1.9375,-2.875,4,0,639.6749267578,1274.4249267578,586.653503418,1270.8869628906,604.1510009766,1311.6157226563,557.322265625,1311.2241210938,496.4529418945,1347.8247070313,642,1246
3,1,709,1383,804,1584,1483.1875,756.25,-1.375,-0.5,4,0,1392.5546875,783.561340332,1452.4006347656,796.8392944336,1435.2277832031,735.0394287109,1482.5277099609,755.3530883789,1544.0714111328,736.9602661133,1374,770
4,0,1248,455,1370,657,556.9609375,1309.015625,0.015625,-2.90625,5,0,636.4763793945,1275.3553466797,581.0563964844,1270.4910888672,598.4119873047,1313.3415527344,556.0856933594,1309.0068359375,495.3897705078,1341.5617675781,644,1247
4,1,707,1381,806,1584,1482.328125,756.3125,-1.03125,-0.125,5,0,1390.9624023438,786.487487793,1450.5795898438,797.83203125,1433.3663330078,738.3924560547,1481.7116699219,755.5466918945,1539.8251953125,736.080871582,1374,774
5,0,1251,450,1369,663,556.619140625,1309.02734375,-0.22265625,-0.9609375,6,0,638.8217163086,1276.8723144531,578.6654052734,1273.1242675781,592.6687011719,1312.9173583984,555.6596679688,1308.6114501953,498.6268920898,1338.4904785156,649,1248
5,1,707,1381,807,1583,1481.82421875,756.796875,-0.6796875,0.28125,6,0,1389.6259765625,789.2844238281,1451.5502929688,799.5311889648,1431.3054199219,738.6579589844,1481.0147705078,755.8388061523,1540.2514648438,735.6226806641,1373,776
6,0,1251,449,1368,663,556.0991210938,1309.1416015625,-0.4208984375,-0.244140625,7,0,639.3500976563,1276.8731689453,579.2533569336,1272.8762207031,592.4340820313,1312.3858642578,555.5624389648,1308.5100097656,498.1692504883,1338.6192626953,649,1248
6,1,707,1382,807,1582,1481.7861328125,757.01953125,-0.251953125,0.2421875,7,0,1390.0987548828,788.8469848633,1450.7275390625,798.4169921875,1432.703125,740.6715087891,1481.0402832031,756.8648681641,1539.9495849609,735.9476318359,1373,776
7,0,1257,463,1355,670,563.7945556641,1306.7243652344,4.9899902344,-1.6928710938,8,0,647.5712890625,1278.68359375,589.2930908203,1275.583984375,597.64453125,1308.9202880859,563.076171875,1306.0305175781,508.1647033691,1334.0137939453,667,1250
7,1,707,1384,813,1571,1478.5085449219,759.3154296875,-2.2690429688,1.611328125,8,0,1392.3255615234,798.6270751953,1456.1915283203,799.2379760742,1436.7100830078,749.2784423828,1478.5358886719,759.325012207,1533.8205566406,735.5452880859,1371,790
8,0,1258,464,1346,671,567.8211669922,1302.7578125,4.3477172852,-3.2086181641,9,0,644.4403076172,1275.8117675781,588.9686279297,1274.6018066406,600.2950439453,1312.6064453125,566.9992675781,1302.0009765625,515.7860107422,1329.2766113281,673,1263
8,1,709,1385,816,1568,1476.4348144531,762.1066894531,-2.1387939453,2.3979492188,9,0,1396.5200195313,806.8192749023,1460.0848388672,800.8587036133,1438.4361572266,757.602722168,1476.5969238281,762.3685913086,1531.4709472656,734.3659667969,1378,796
9,0,1257,459,1339,672,567.1672363281,1298.3873291016,1.0132751465,-3.983215332,10,0,643.5151367188,1278.4320068359,598.3557128906,1271.5394287109,604.200012207,1307.1956787109,566.6798706055,1297.6186523438,520.5166015625,1319.3182373047,674,1271
9,1,711,1389,819,1563,1475.5739746094,764.876159668,-1.2868041992,2.6456298828,10,0,1400.7449951172,808.8228759766,1463.9097900391,797.5270385742,1442.5054931641,760.5029296875,1475.3836669922,764.1223144531,1528.9621582031,733.9318847656,1387,797
10,0,1255,458,1337,676,567.2951660156,1295.6010742188,0.4230041504,-3.1852416992,11,0,649.8726196289,1280.9597167969,604.7867431641,1268.5942382813,606.9300537109,1309.0379638672,566.6378173828,1294.5587158203,517.7590332031,1315.6883544922,675,1273
10,1,712,1391,821,1562,1475.9467773438,766.7554321289,-0.1803588867,2.1347351074,11,0,1398.7756347656,814.1685180664,1465.9230957031,796.91796875,1443.9504394531,764.2185668945,1475.7835693359,766.4878540039,1528.162109375,736.2233276367,1389,795
11,0,1255,460,1338,676,567.9295654297,1295.4790039063,0.5639343262,-1.1431274414,12,0,649.5884399414,1280.3316650391,605.0122070313,1268.4232177734,607.1198730469,1308.6572265625,566.6002807617,1294.5216064453,517.6262207031,1315.4434814453,674,1273
11,1,711,1390,821,1563,1476.3166503906,766.7225341797,0.1864624023,0.689666748,12,0,1400.0032958984,813.016418457,1465.6806640625,798.2883300781,1442.8317871094,763.8233642578,1476.6557617188,766.3712768555,1531.3017578125,733.5506591797,1390,795
12,0,1255,462,1348,677,569.2484130859,1299.708984375,1.0671691895,2.4389038086,13,0,660.8877563477,1283.1789550781,614.6580200195,1268.1569824219,620.8804931641,1317.6103515625,569.3704833984,1299.2482910156,513.6032714844,1316.7186279297,681,1279
12,1,710,1391,824,1560,1475.7507324219,767.1030273438,-0.3151245117,0.4835510254,13,0,1399.7629394531,816.0654296875,1462.4801025391,799.5715332031,1439.806640625,765.3345947266,1475.6163330078,767.3560791016,1527.1534423828,736.9146728516,1387,797
13,0,1252,475,1356,681,576.0788574219,1303.5369873047,4.9093933105,3.3649291992,14,0,664.8947753906,1274.7045898438,617.3805541992,1269.5395507813,633.2910766602,1313.2215576172,576.3700561523,1303.2431640625,521.7321777344,1326.0480957031,678,1276
13,1,707,1392,825,1559,1475.4838867188,766.3966064453,-0.2828979492,-0.3097229004,14,0,1400.2731933594,816.4543457031,1463.3951416016,800.6791992188,1440.9073486328,763.0274047852,1475.7062988281,766.4353027344,1526.6639404297,732.9498291016,1388,800
14,0,1244,485,1361,685,583.9970703125,1303.6004638672,6.9152526855,1.1640014648,15,0,665.4895019531,1270.7653808594,615.651184082,1261.9987792969,640.2326049805,1307.7180175781,583.8112182617,1303.6815185547,532.8676757813,1330.3343505859,678,1256
14,1,706,1391,826,1558,1474.6752929688,766.0217285156,-0.6333618164,-0.3531799316,15,0,1402.7564697266,813.231262207,1463.4998779297,800.3837280273,1439.3045654297,764.0958251953,1474.5458984375,766.2924804688,1524.8354492188,730.7133789063,1387,804
15,0,1237,499,1359,687,592.4780883789,1299.6911621094,7.9590759277,-2.2182006836,16,0,670.3795776367,1264.1486816406,618.6500854492,1254.4040527344,647.5930786133,1305.9770507813,592.6989135742,1299.5838623047,539.5176391602,1328.2028808594,684,1250
