frame_num,stage_drive_x,stage_drive_y,stage_geo_x,stage_geo_y,stage_geo_units,cell_id,cell_x,cell_y,cell_vector_x,cell_vector_y
125,0,0,3055974,347066,25,0,1582,1372,0.1756819837989953,-2.6297905037710345e-05
126,0,0,3055974,347066,25,0,1582,1372,0.21280022713456237,-5.287375918224968e-05
127,0,0,3055974,347066,25,0,1582,1372,0.17494292932913158,-5.561472930831912e-05
128,0,0,3055974,347066,25,0,1582,1372,0.09595994206661107,-4.0848989624566064e-05
129,0,0,3055974,347066,25,0,1582,1372,0.01188386836288391,-1.825827498588439e-05
130,0,0,3055974,347066,25,0,1582,1372,-0.05053454373860386,3.032707763748868e-06
131,0,0,3055974,347066,25,0,1582,1372,-0.07906706908802316,1.7026583372979467e-05
132,0,0,3055974,347066,25,0,1582,1371,-0.37531971610619597,2.1714321246589343e-05
133,-5,0,3055974,347066,25,0,1582,1372,-0.1701006541870581,1.8481441384109012e-05
134,-5,0,3055973,347066,25,0,1582,1371,-0.2754171145875032,1.0673993051467215e-05
135,-5,0,3055967,347066,25,0,1582,1372,0.033486497508443125,2.0065813031473507e-06
136,-5,0,3055960,347066,25,0,1582,1372,0.2396730767230795,-4.662581318472411e-06
137,-5,0,3055953,347066,25,0,1582,1372,0.3121017591563944,-7.932220751273751e-06
138,-5,0,3055947,347066,25,0,1578,1372,0.26917130911278975,-1.2000078413021358
139,-5,0,3055940,347066,25,0,1576,1372,0.15836860134838873,-2.2800054252684507
140,-5,0,3055932,347066,25,0,1570,1372,0.03329612550876421,-4.152002106464329
141,-5,0,3055926,347066,25,0,1567,1371,-0.36424344523156804,-5.116799151362125
142,-5,0,3055920,347066,25,0,1565,1371,-0.5332481111803642,-4.857117337381965
143,-5,0,3055913,347066,25,0,1561,1370,-0.7915769439904121,-4.418204866381325
144,-5,0,3055907,347066,25,0,1558,1370,-0.7349340437603356,-3.685504676766459
145,-5,0,3055901,347066,25,0,1552,1370,-0.4748038004711812,-3.866963141006136
146,-5,0,3055895,347066,25,0,1549,1370,-0.15027149002746643,-3.7338951236720277
147,-5,0,3055889,347066,25,0,1544,1368,-0.4780174257085715,-4.020578974436558
148,-5,0,3055882,347066,25,0,1542,1369,-0.2640343529727939,-3.615083977640734
149,-5,0,3055876,347066,25,0,1540,1369,-0.03503589616589084,-2.8467122865914236
150,-5,0,3055869,347066,25,0,1536,1368,-0.16422620755129133,-2.654838416879534
151,-5,0,3055862,347066,25,0,1534,1368,-0.2053915632556705,-2.324075183017317
152,-5,0,3055855,347066,25,0,1532,1368,-0.17258984327202104,-1.995318364408536
153,-5,0,3055847,347066,25,0,1528,1368,-0.09785168630187362,-2.3665930820598082
154,-5,0,3055840,347066,25,0,1526,1368,-0.016179470532187754,-2.516507459797777
155,-5,0,3055833,347066,25,0,1522,1368,0.04584492166627607,-3.0664952862749946
156,-5,0,3055825,347066,25,0,1518,1367,-0.22449148029468197,-3.731538178926508
157,-5,-5,3055817,347066,25,0,1516,1368,-0.04637951757890696,-3.6776067501045877
158,-5,-5,3055810,347073,25,0,1513,1368,0.09221271159583502,-3.4365727248978604
159,-5,-5,3055802,347071,25,0,1508,1368,0.16156345853937673,-3.7368770897838206
160,-5,-5,3055795,347066,25,0,1502,1366,-0.43836005616192286,-4.626027018268861
161,-5,-5,3055788,347061,25,0,1498,1366,-0.7267984996042965,-5.060623862727744
162,-5,-5,3055781,347056,25,0,1494,1372,1.0893341398673102,-5.046654495030681
163,-5,-5,3055774,347056,25,0,1488,1370,1.4338267455372489,-5.322879589133505
164,-5,-5,3055768,347053,25,0,1484,1366,0.04482354584499726,-5.1193732782654715
165,-5,-5,3055761,347053,25,0,1477,1362,-2.140925757693071,-5.541106877178186
166,-5,-5,3055755,347051,25,0,1472,1358,-4.22867254286175,-5.673988333263652
167,-5,-5,3055748,347046,25,0,1466,1358,-4.421493529621307,-5.864808852544389
168,-5,-5,3055742,347046,25,0,1462,1358,-3.2300201614666317,-5.438940560277548
169,-5,-5,3055735,347043,25,0,1454,1355,-2.3269827553183626,-5.909150587607474
170,-5,-5,3055728,347038,25,0,1450,1353,-1.5967617444190858,-5.66555243045616
171,-5,-5,3055721,347036,25,0,1446,1350,-1.5065785134638183,-4.995367991313379
171,-5,-5,3055721,347036,25,1,1795,1426,0,0
172,-5,-5,3055715,347031,25,0,1438,1348,-1.5914766977559787,-5.427628486519439
172,-5,-5,3055715,347031,25,1,1795,1426,0,0
173,-5,-5,3055708,347026,25,0,1434,1346,-1.7734624174337108,-5.301922287207822
173,-5,-5,3055708,347026,25,1,1795,1426,0,0
174,-5,-5,3055702,347021,25,0,1426,1343,-2.2688136959780643,-6.023351261527364
174,-5,-5,3055702,347021,25,1,1795,1426,0,0
175,-5,-5,3055692,347016,25,0,1416,1338,-3.4349154821657057,-7.721346165092882
175,-5,-5,3055692,347016,25,1,1795,1426,0,0
176,-5,-5,3055686,347011,25,0,1414,1336,-3.8207120878473226,-7.19353874806086
177,-5,-5,3055679,347007,25,0,1406,1332,-4.14455608547023,-7.066011931720254
178,-5,-5,3055673,347004,25,0,1399,1328,-4.327880058165237,-6.9569395807657886
179,-5,-5,3055667,346999,25,0,1394,1323,-4.657842821602184,-6.293507060867933
179,-5,-5,3055667,346999,25,2,1746,1398,0,0
180,-5,-5,3055660,346997,25,0,1389,1321,-4.091463909527419,-5.441052178679048
180,-5,-5,3055660,346997,25,2,1746,1398,0,0
181,-5,-5,3055652,346992,25,0,1386,1317,-3.667559498216837,-4.1120181075431
181,-5,-5,3055652,346992,25,2,1746,1398,0,0
182,-5,-5,3055641,346984,25,0,1382,1314,-3.1705585608343645,-3.1480888254850474
182,-5,-5,3055641,346984,25,2,1746,1398,0,0
183,-5,-5,3055633,346982,25,0,1375,1310,-3.071490336416331,-3.6289116803988692
183,-5,-5,3055633,346982,25,2,1746,1398,0,0
184,-5,-5,3055625,346974,25,0,1372,1308,-2.6806954783988424,-3.7768141747188566
185,-5,-5,3055618,346969,25,0,1368,1304,-2.802930434266954,-3.947301668327191
186,-5,-5,3055611,346964,25,0,1362,1299,-3.5476157730945252,-4.682452413354895
186,-5,-5,3055611,346964,25,3,1709,1374,0,0
187,-5,-5,3055603,346959,25,0,1358,1296,-3.904610778345454,-4.992322210867792
187,-5,-5,3055603,346959,25,3,1709,1374,0,0
188,-5,-5,3055596,346952,25,0,1354,1290,-4.783124048517515,-4.9115344058664965
188,-5,-5,3055596,346952,25,3,1709,1374,0,0
189,0,-5,3055589,346947,25,0,1348,1286,-5.163146123082696,-5.181522620605688
189,0,-5,3055589,346947,25,3,1694,1362,-4.0,-5.0
190,0,-5,3055585,346939,25,0,1342,1282,-5.080217738353507,-5.616057584741429
190,0,-5,3055585,346939,25,3,1694,1362,-4.0,-5.0
191,0,-5,3055585,346932,25,0,1338,1277,-4.998102547537064,-5.435414784214026
191,0,-5,3055585,346932,25,3,1694,1362,-4.0,-5.0
192,0,-5,3055585,346924,25,0,1334,1273,-4.641191149704468,-4.878340388580636
192,0,-5,3055585,346924,25,3,1694,1362,-4.0,-5.0
193,0,-5,3055585,346914,25,0,1330,1268,-4.4989958263103516,-4.224886195063072
193,0,-5,3055585,346914,25,3,1694,1362,-4.0,-5.0
194,0,-5,3055585,346907,25,0,1328,1262,-4.849760352041358,-3.100002401081815
195,0,-5,3055585,346899,25,0,1326,1256,-5.440367414440675,-1.9825830249704037
196,0,-5,3055585,346892,25,0,1325,1248,-6.621682133787953,-0.9056145542013152
197,0,-5,3055585,346882,25,0,1326,1243,-6.962097797194655,0.41994774159743464
198,0,-5,3055585,346869,25,0,1326,1238,-6.611759422420937,1.2218570261772814
199,0,-5,3055585,346857,25,0,1324,1233,-5.882994733353052,0.8166364175300036
200,0,-5,3055585,346847,25,0,1324,1224,-6.3079610309996035,0.2879910662179559
201,0,-5,3055585,346837,25,0,1324,1221,-5.613049130052309,-0.1684579995658846
202,0,-5,3055585,346829,25,0,1325,1211,-6.4426960603735095,-0.13743494574484835
203,0,-5,3055585,346822,25,0,1326,1198,-8.99064009348633,0.22551167565336575
204,0,-5,3055585,346817,25,0,1326,1195,-8.977008888619434,0.4119208079360992
205,0,-5,3055585,346809,25,0,1328,1188,-8.374364378626796,1.0188309581531487
206,0,-5,3055585,346804,25,0,1326,1180,-7.840203908043917,0.5380187758591322
206,0,-5,3055585,346804,25,4,862,35,0,0
207,0,-5,3055585,346799,25,0,1326,1176,-6.314230406222782,0.04004461549559468
207,0,-5,3055585,346799,25,4,861,32,-3.0,-1.0
208,0,-5,3055585,346792,25,0,1326,1170,-5.151779833081172,-0.32055068140755305
208,0,-5,3055585,346792,25,4,864,30,-2.7,0.19999999999999996
209,0,-5,3055585,346787,25,0,1328,1167,-3.6925304819576463,0.12319781518244816
209,0,-5,3055585,346787,25,4,865,28,-2.2800000000000007,1.2799999999999727
210,0,-5,3055585,346782,25,0,1328,1162,-3.0632967915839115,0.39686241824072144
210,0,-5,3055585,346782,25,4,862,24,-2.5020000000000002,0.7519999999999755
211,0,-5,3055585,346777,25,0,1326,1156,-3.5038441708470827,-0.13063108509070354
211,0,-5,3055585,346777,25,4,868,22,-2.5068000000000006,1.9567999999999985
212,5,-5,3055585,346772,25,0,1326,1152,-3.9610740850772115,-0.4606872118954694
212,5,-5,3055585,346772,25,4,866,21,-2.0581200000000006,1.613120000000015
213,5,-5,3055587,346767,25,0,1324,1148,-4.292812799515172,-1.153520337090185
213,5,-5,3055587,346767,25,4,858,18,-2.026608,-1.5113919999999776
214,5,-5,3055593,346764,25,0,1325,1145,-4.137186059767213,-0.9924474235994235
214,5,-5,3055593,346764,25,4,853,17,-1.6965671999999992,-4.7451327999999755
