frame_num,stage_drive_x,stage_drive_y,stage_geo_x,stage_geo_y,stage_geo_units,cell_id,cell_x,cell_y,cell_vector_x,cell_vector_y
407,0,0,3055970,347068,25,0,1584,1372,-0.2516598270826764,-0.020166489382017927
408,0,0,3055970,347068,25,0,1584,1372,-0.2722361165343502,-0.13894861761473287
409,0,0,3055970,347068,25,0,1584,1373,0.09503131580972857,-0.1804115220932544
410,0,0,3055970,347068,25,0,1584,1373,0.3236091237076378,-0.15531209860025677
411,0,0,3055970,347068,25,0,1583,1372,0.08653085212388284,-0.39114887257508135
412,0,0,3055970,347068,25,0,1583,1373,0.19461680637807582,-0.43888995258494096
413,0,0,3055970,347068,25,0,1583,1373,0.21189193244260857,-0.34064172281632626
414,0,0,3055970,347068,25,0,1583,1373,0.16041694095501932,-0.16967544513338442
415,0,0,3055970,347068,25,0,1584,1373,0.07625936462720781,0.3009035827846902
416,-20,0,3055970,347068,25,0,1584,1373,-0.005528748190477217,0.540037827491915
417,-20,0,3055959,347068,25,0,1583,1372,-0.3611218027056795,0.2454204505394047
418,-20,0,3055933,347068,25,0,1584,1372,-0.5017004000546651,0.2655621515108807
419,-20,0,3055908,347068,25,0,1583,1373,-0.14959529818252143,-0.10000730326235024
420,-20,0,3055882,347068,25,0,1584,1373,0.14175686258270137,-0.025903730624872695
421,-20,0,3055850,347068,25,0,1574,1373,0.30317631634354686,-2.9662601105912243
422,-20,0,3055815,347068,25,0,1564,1372,0.025217039073095027,-7.134631543390309
423,-20,0,3055770,347068,25,0,1546,1370,-0.776919566738184,-13.312102083332569
423,-20,0,3055770,347068,25,1,1894,1448,0,0
424,-20,0,3055743,347068,25,0,1538,1370,-1.1053393207846514,-16.042700836292372
424,-20,0,3055743,347068,25,1,1894,1448,0,0
425,-20,0,3055717,347068,25,0,1518,1370,-1.0036313523817628,-19.141309712476502
425,-20,0,3055717,347068,25,1,1894,1448,0,0
426,-20,0,3055691,347068,25,0,1502,1369,-0.9313463687852394,-20.367943012062504
426,-20,0,3055691,347068,25,1,1894,1448,0,0
427,-20,0,3055665,347068,25,0,1464,1366,-1.5013429696321285,-26.51620341815394
427,-20,0,3055665,347068,25,1,1894,1448,0,0
428,-20,-20,3055639,347068,25,0,1446,1365,-1.7499376993353057,-28.265124676971777
429,-20,-20,3055609,347073,25,0,1416,1362,-2.298972700326931,-30.009832155052777
430,-20,-20,3055580,347056,25,0,1390,1360,-2.5936053909230172,-30.028177743193623
431,-20,-20,3055550,347043,25,0,1378,1361,-1.7217666570633587,-24.632566331934164
432,-20,-20,3055523,347031,25,0,1362,1360,-0.8949495462425835,-18.265868444472314
433,-20,-20,3055489,347011,25,0,1343,1360,-0.04769270479525911,-14.029419389907346
434,-20,-20,3055459,346997,25,0,1327,1346,-3.64030510434352,-11.655079234739631
435,-20,-20,3055431,346979,25,0,1306,1335,-8.363042252724266,-12.796517355700328
436,-20,-20,3055400,346957,25,0,1290,1326,-11.860045580773544,-14.55656883366271
437,-20,-20,3055371,346929,25,0,1260,1308,-16.149934236175955,-20.421634218137527
438,-20,-20,3055346,346899,25,0,1233,1296,-17.907876024104848,-26.500689721828646
439,-20,-20,3055321,346867,25,0,1214,1284,-17.366072468423614,-28.505821657863866
440,-20,-20,3055292,346832,25,0,1186,1260,-18.97698823891967,-29.757667515729352
441,-20,-20,3055263,346802,25,0,1168,1236,-21.611532806591004,-27.106659361516428
442,0,-20,3055217,346767,25,0,1156,1220,-21.772254161983643,-20.71895584511242
443,0,-20,3055127,346674,25,0,1135,1188,-24.953082862163342,-16.331876630095827
444,0,-20,3055127,346642,25,0,1124,1168,-25.693738093640082,-11.661358190555486
444,0,-20,3055127,346642,25,2,660,30,0,0
445,0,-20,3055127,346609,25,0,1092,1144,-25.70407532758177,-14.493587825710554
445,0,-20,3055127,346609,25,2,660,30,0,0
446,0,-20,3055127,346577,25,0,1042,1112,-27.600088793066426,-27.128072222605923
446,0,-20,3055127,346577,25,2,660,30,0,0
447,0,-20,3055127,346547,25,0,974,1040,-42.24727158098578,-48.2337896336509
447,0,-20,3055127,346547,25,2,660,30,0,0
448,0,-20,3055127,346507,25,0,974,1012,-48.226118058233595,-48.53765493128711
448,0,-20,3055127,346507,25,2,660,30,0,0
449,0,-20,3055127,346484,25,0,974,984,-46.343475174836996,-34.18906416024633
450,0,-20,3055127,346462,25,0,974,967,-36.222582604008274,-13.888331372443904
451,0,-20,3055127,346429,25,0,975,944,-25.17118302322568,4.7886809907509615
452,0,-20,3055127,346394,25,0,975,912,-19.48384840971015,16.42598534776206
453,0,-20,3055127,346362,25,0,974,900,-13.257559657336227,19.344302793341207
454,20,-20,3055127,346327,25,0,976,880,-10.921889633473617,16.183834167244243
455,20,-20,3055137,346297,25,0,974,854,-13.8103537267277,8.516355878803086
456,20,-20,3055162,346272,25,0,974,834,-17.689172473987227,0.594214313253361
457,20,-20,3055189,346252,25,0,973,803,-24.397593854872728,-5.429549076607451
458,20,-20,3055216,346234,25,0,973,784,-27.47421066503075,-8.017318726527764
